 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter   138 lrate =  1.0000000000 LL =  -2.5809477476 nd =  0.0008043082, D =   0.10647E+00  0.10647E+00  (  0.72 s,   0.4 h)
 iter   139 lrate =  1.0000000000 LL =  -2.5809013836 nd =  0.0008051926, D =   0.10667E+00  0.10667E+00  (  0.71 s,   0.4 h)
 iter   140 lrate =  1.0000000000 LL =  -2.5808551565 nd =  0.0008056782, D =   0.10689E+00  0.10689E+00  (  0.69 s,   0.4 h)
 iter   141 lrate =  1.0000000000 LL =  -2.5808089123 nd =  0.0008055572, D =   0.10712E+00  0.10712E+00  (  1.22 s,   0.6 h)
 iter   142 lrate =  1.0000000000 LL =  -2.5807626524 nd =  0.0008026030, D =   0.10733E+00  0.10733E+00  (  0.72 s,   0.4 h)
 iter   143 lrate =  1.0000000000 LL =  -2.5807166777 nd =  0.0007992033, D =   0.10756E+00  0.10756E+00  (  0.69 s,   0.4 h)
 iter   144 lrate =  1.0000000000 LL =  -2.5806713344 nd =  0.0008007453, D =   0.10780E+00  0.10780E+00  (  0.71 s,   0.4 h)
 iter   145 lrate =  1.0000000000 LL =  -2.5806263045 nd =  0.0008008006, D =   0.10804E+00  0.10804E+00  (  0.71 s,   0.4 h)
 iter   146 lrate =  1.0000000000 LL =  -2.5805816259 nd =  0.0007999783, D =   0.10827E+00  0.10827E+00  (  0.71 s,   0.4 h)
 iter   147 lrate =  1.0000000000 LL =  -2.5805372052 nd =  0.0007996164, D =   0.10851E+00  0.10851E+00  (  0.70 s,   0.4 h)
 iter   148 lrate =  1.0000000000 LL =  -2.5804932535 nd =  0.0008001656, D =   0.10874E+00  0.10874E+00  (  0.71 s,   0.4 h)
 iter   149 lrate =  1.0000000000 LL =  -2.5804499038 nd =  0.0008021853, D =   0.10899E+00  0.10899E+00  (  0.74 s,   0.4 h)
 iter   150 lrate =  1.0000000000 LL =  -2.5804067021 nd =  0.0008017871, D =   0.10925E+00  0.10925E+00  (  0.70 s,   0.4 h)
 iter   151 lrate =  1.0000000000 LL =  -2.5803635824 nd =  0.0008003491, D =   0.10954E+00  0.10954E+00  (  1.22 s,   0.6 h)
 iter   152 lrate =  1.0000000000 LL =  -2.5803206188 nd =  0.0007966960, D =   0.10980E+00  0.10980E+00  (  0.72 s,   0.4 h)
 iter   153 lrate =  1.0000000000 LL =  -2.5802781298 nd =  0.0007967672, D =   0.11008E+00  0.11008E+00  (  0.71 s,   0.4 h)
 iter   154 lrate =  1.0000000000 LL =  -2.5802354440 nd =  0.0007984927, D =   0.11035E+00  0.11035E+00  (  0.71 s,   0.4 h)
 iter   155 lrate =  1.0000000000 LL =  -2.5801927357 nd =  0.0007992593, D =   0.11062E+00  0.11062E+00  (  0.73 s,   0.4 h)
 iter   156 lrate =  1.0000000000 LL =  -2.5801500611 nd =  0.0007945615, D =   0.11091E+00  0.11091E+00  (  0.70 s,   0.4 h)
 iter   157 lrate =  1.0000000000 LL =  -2.5801078481 nd =  0.0007929416, D =   0.11121E+00  0.11121E+00  (  0.71 s,   0.4 h)
 iter   158 lrate =  1.0000000000 LL =  -2.5800658159 nd =  0.0007942979, D =   0.11150E+00  0.11150E+00  (  0.70 s,   0.4 h)
 iter   159 lrate =  1.0000000000 LL =  -2.5800235189 nd =  0.0007905289, D =   0.11177E+00  0.11177E+00  (  0.73 s,   0.4 h)
 iter   160 lrate =  1.0000000000 LL =  -2.5799817474 nd =  0.0007885730, D =   0.11205E+00  0.11205E+00  (  0.81 s,   0.4 h)
 iter   161 lrate =  1.0000000000 LL =  -2.5799400438 nd =  0.0007867016, D =   0.11232E+00  0.11232E+00  (  1.23 s,   0.6 h)
 iter   162 lrate =  1.0000000000 LL =  -2.5798984640 nd =  0.0007852033, D =   0.11262E+00  0.11262E+00  (  0.72 s,   0.4 h)
 iter   163 lrate =  1.0000000000 LL =  -2.5798569160 nd =  0.0007833084, D =   0.11293E+00  0.11293E+00  (  0.71 s,   0.4 h)
 iter   164 lrate =  1.0000000000 LL =  -2.5798155593 nd =  0.0007806683, D =   0.11324E+00  0.11324E+00  (  0.80 s,   0.4 h)
 iter   165 lrate =  1.0000000000 LL =  -2.5797744368 nd =  0.0007785890, D =   0.11354E+00  0.11354E+00  (  0.81 s,   0.4 h)
 iter   166 lrate =  1.0000000000 LL =  -2.5797337747 nd =  0.0007764757, D =   0.11381E+00  0.11381E+00  (  0.73 s,   0.4 h)
 iter   167 lrate =  1.0000000000 LL =  -2.5796932519 nd =  0.0007728742, D =   0.11411E+00  0.11411E+00  (  0.71 s,   0.4 h)
 iter   168 lrate =  1.0000000000 LL =  -2.5796529379 nd =  0.0007701948, D =   0.11440E+00  0.11440E+00  (  0.72 s,   0.4 h)
 iter   169 lrate =  1.0000000000 LL =  -2.5796130880 nd =  0.0007650668, D =   0.11467E+00  0.11467E+00  (  0.71 s,   0.4 h)
 iter   170 lrate =  1.0000000000 LL =  -2.5795736882 nd =  0.0007579792, D =   0.11496E+00  0.11496E+00  (  0.70 s,   0.4 h)
 iter   171 lrate =  1.0000000000 LL =  -2.5795349313 nd =  0.0007500759, D =   0.11522E+00  0.11522E+00  (  1.21 s,   0.6 h)
 iter   172 lrate =  1.0000000000 LL =  -2.5794969075 nd =  0.0007436557, D =   0.11548E+00  0.11548E+00  (  0.70 s,   0.4 h)
 iter   173 lrate =  1.0000000000 LL =  -2.5794594312 nd =  0.0007390976, D =   0.11572E+00  0.11572E+00  (  0.70 s,   0.4 h)
 iter   174 lrate =  1.0000000000 LL =  -2.5794223998 nd =  0.0007332620, D =   0.11596E+00  0.11596E+00  (  0.73 s,   0.4 h)
 iter   175 lrate =  1.0000000000 LL =  -2.5793859534 nd =  0.0007259598, D =   0.11620E+00  0.11620E+00  (  0.75 s,   0.4 h)
 iter   176 lrate =  1.0000000000 LL =  -2.5793501928 nd =  0.0007208583, D =   0.11646E+00  0.11646E+00  (  0.76 s,   0.4 h)
 iter   177 lrate =  1.0000000000 LL =  -2.5793149630 nd =  0.0007145103, D =   0.11670E+00  0.11670E+00  (  0.72 s,   0.4 h)
